Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;V_weighted;EFA_weighted;AmbientCondPattern;EFA_WTT_weighted;EFA_WTW_weighted
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;RUR/Access/50/St+Go;0%;12.48863888;0.022638971;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;URB/MW-Nat./80/Freeflow;0%;79.03366089;0.008116825;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;URB/MW-Nat./80/St+Go;0%;15.47382641;0.022408267;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;URB/MW-Nat./90/Freeflow;0%;88.4336319;0.008298963;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;URB/MW-Nat./90/St+Go;0%;17.92079163;0.020175166;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;URB/MW-Nat./100/Freeflow;0%;96.9336319;0.009758563;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;URB/MW-Nat./100/St+Go;0%;17.92079926;0.02018995;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;URB/MW-Nat./110/Freeflow;0%;106.4403458;0.010892457;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;URB/MW-Nat./110/St+Go;0%;17.91754913;0.020198457;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;URB/MW-Nat./120/Freeflow;0%;115.9398651;0.012209402;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;URB/MW-Nat./120/St+Go;0%;17.91789055;0.0201959;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;URB/MW-Nat./130/Freeflow;0%;126.0379333;0.015044102;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;MW;URB/MW-Nat./130/St+Go;0%;17.91563034;0.020190744;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/MW-City/60/Freeflow;0%;62.73362732;0.007220936;ØGermany;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;HC;Urban;URB/MW-City/60/St+Go;0%;13.26994896;0.024858857;ØGermany;;
