Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;EFA_weighted;EFA_km_weighted;EFA_WTT_weighted;EFA_WTT_km_weighted;EFA_WTW_weighted;EFA_WTW_km_weighted
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;HC;Urban;TØ,>12h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;HC;Urban;TØ,>12h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;HC;Urban;TØ,>12h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;HC;Urban;TØ,>12h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,0-1h,0-1km;0.990418673;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;CO;Urban;TØ,0-1h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;CO;Urban;TØ,0-1h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;CO;Urban;TØ,0-1h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;CO;Urban;TØ,0-1h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,1-2h,0-1km;2.657198191;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;CO;Urban;TØ,1-2h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;CO;Urban;TØ,1-2h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;CO;Urban;TØ,1-2h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;CO;Urban;TØ,1-2h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,2-3h,0-1km;3.687782526;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;CO;Urban;TØ,2-3h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;CO;Urban;TØ,2-3h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;CO;Urban;TØ,2-3h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;CO;Urban;TØ,2-3h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,3-4h,0-1km;4.777820587;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;CO;Urban;TØ,3-4h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;CO;Urban;TØ,3-4h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;CO;Urban;TØ,3-4h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;CO;Urban;TØ,3-4h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,4-5h,0-1km;5.500161648;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;CO;Urban;TØ,4-5h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;CO;Urban;TØ,4-5h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;CO;Urban;TØ,4-5h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;CO;Urban;TØ,4-5h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,5-6h,0-1km;5.872639656;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;CO;Urban;TØ,5-6h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;CO;Urban;TØ,5-6h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;CO;Urban;TØ,5-6h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;CO;Urban;TØ,5-6h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,6-7h,0-1km;6.245115757;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;CO;Urban;TØ,6-7h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;CO;Urban;TØ,6-7h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;CO;Urban;TØ,6-7h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;CO;Urban;TØ,6-7h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,7-8h,0-1km;6.617593765;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;CO;Urban;TØ,7-8h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;CO;Urban;TØ,7-8h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;CO;Urban;TØ,7-8h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;CO;Urban;TØ,7-8h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,8-9h,0-1km;6.990069866;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;CO;Urban;TØ,8-9h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;CO;Urban;TØ,8-9h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;CO;Urban;TØ,8-9h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;CO;Urban;TØ,8-9h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,9-10h,0-1km;7.362546444;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;CO;Urban;TØ,9-10h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;CO;Urban;TØ,9-10h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;CO;Urban;TØ,9-10h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;CO;Urban;TØ,9-10h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,10-11h,0-1km;7.735023499;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;CO;Urban;TØ,10-11h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;CO;Urban;TØ,10-11h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;CO;Urban;TØ,10-11h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;CO;Urban;TØ,10-11h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,11-12h,0-1km;8.107503891;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;CO;Urban;TØ,11-12h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;CO;Urban;TØ,11-12h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;CO;Urban;TØ,11-12h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;CO;Urban;TØ,11-12h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,>12h,0-1km;8.293737411;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;CO;Urban;TØ,>12h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;CO;Urban;TØ,>12h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;CO;Urban;TØ,>12h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;CO;Urban;TØ,>12h,0-1km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,0-1h,1-2km;0.997770488;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;CO;Urban;TØ,0-1h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;CO;Urban;TØ,0-1h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;CO;Urban;TØ,0-1h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;CO;Urban;TØ,0-1h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,1-2h,1-2km;2.770987749;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;CO;Urban;TØ,1-2h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;CO;Urban;TØ,1-2h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;CO;Urban;TØ,1-2h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;CO;Urban;TØ,1-2h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,2-3h,1-2km;3.989943981;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;CO;Urban;TØ,2-3h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;CO;Urban;TØ,2-3h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;CO;Urban;TØ,2-3h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;CO;Urban;TØ,2-3h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,3-4h,1-2km;5.224170685;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;CO;Urban;TØ,3-4h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;CO;Urban;TØ,3-4h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;CO;Urban;TØ,3-4h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;CO;Urban;TØ,3-4h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,4-5h,1-2km;6.0458951;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;CO;Urban;TØ,4-5h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];urban bus;2020;REF D HB41;CO;Urban;TØ,4-5h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];coach;2020;REF D HB41;CO;Urban;TØ,4-5h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];motorcycle;2020;REF D HB41;CO;Urban;TØ,4-5h,1-2km;0.0;;;;;
2020_Average_perVehCat[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,5-6h,1-2km;6.455329895;;;;;
2020_Average_perVehCat[4.1];HGV;2020;REF D HB41;CO;Urban;TØ,5-6h,1-2km;0.0;;;;;
